Subject,Grade,Options
Math,2,Add and subtract within 20
Math,2,Place value
Math,2,Add and subtract within 100
Math,2,Add and subtract within 1000
Math,2,Money and times
Math,2,Measurement
Math,2,Data
Math,2,Geometry
Math,2,Course challenge
Math,3,Intro to multiplication
Math,3,1-digit multiplication
Math,3,"Addition, subtraction, and estimation"
Math,3,Intro to division
Math,3,Understand fractions
Math,3,Equivalent fractions and comparing fractions
Math,3,More with multiplication & division
Math,3,Arithmetic patterns & problem-solving
Math,3,Quadrilaterals
Math,3,Area
Math,3,Perimeter
Math,3,Time
Math,3,Measurements
Math,3,Represent and interpret data
Math,3,Course challenge
Math,4,Place value
Math,4,"Additions, subtraction, & estimation"
Math,4,Multiply by one-digit numbers
Math,4,2-digit numbers
Math,4,Division
Math,4,"Factors, multiples, & patterns"
Math,4,Equivalent fractions & comparing fractions
Math,4,Add and subtract fractions
Math,4,Multiply fractions
Math,4,Understand decimals
Math,4,Plane figures
Math,4,Measuring angles
Math,4,Area & perimeters
Math,4,Units of measures
Math,4,Course challenge
Math,5,Decimal place value
Math,5,Add decimals
Math,5,Subtract decimals
Math,5,Add & subtract fractions
Math,5,Multi-digit multiplication & division
Math,5,Multiple fractions
Math,5,Divide fractions
Math,5,Multiple decimals
Math,5,Divide decimals
Math,5,Powers of 10
Math,5,Volume
Math,5,Coordinate plane
Math,5,Algebraic thinking
Math,5,Converting units of measures
Math,5,Line plot
Math,5,Properties of shapes
Math,5,Course challenge
Math,6,Ratios
Math,6,Arithmetic with rational numbers
Math,6,Rates and percentages
Math,6,Exponents and orders of operations
Math,6,Negative numbers
Math,6,Variables and expressions
Math,6,Equations and inequalities
Math,6,Plane figures
Math,6,Coordinate plane
Math,6,3D figures
Math,6,Data & statistics
Math,6,Course challenge
Math,7,Proportional relationships
Math,7,Rates and percentages
Math,7,Integers: addition and subtraction
Math,7,Rational numbers: addition and subtraction
Math,7,Negative numbers: multiplication & division
Math,7,"Expressions, equations, and inequalities"
Math,7,Statistics & probability
Math,7,Scale copies
Math,7,Geometry
Math,7,Course challenge
Math,8,Numbers in operations
Math,8,Solving equations with one unknown
Math,8,Linear equations and functions
Math,8,Systems of equations
Math,8,Geometry
Math,8,Geometric transformations
Math,8,Data and modeling
Math,8,Course challenge
Language,0,Reading-discussing book in school curriculum
Language,0,Reading-discussing personal book
Language,0,Reading comprehension
Language,0,"Vocabulary (BRAIN Book, etc.)"
Language,0,Grammar
Language,0,Writing essay  
Language,-1,Beginner’s Wonderland
Language,-1,From Earth to Space
Language,-1,Journey to the Woods
Language,-1,Mix It Up
Language,-1,Nature’s Beauty
Language,-1,Mysteries of Water
Language,-1,Urban Life
Language,-1,Animal Kingdom
Language,-1,In the Kitchen
Language,-1,Seasons & Weather
Language,-1,At School
